Time,Open,High,Low,Close,Volume,  KDJ.K     ,  KDJ.D     ,dollarindex
20051230,493,541,489,517.2,0,77.933,70.571,91.1
20060131,517,572.2,516.75,568,0,84.409,75.184,88.92
20060228,569,574.6,534.5,561.7,0,86.926,79.098,90.13
20060331,562.3,588.7,533.6,581.6,0,89.899,82.698,89.73
20060428,582.5,655.4,581.8,653.15,0,92.935,86.11,85.97
20060531,654.6,730,635.7,643.2,0,85.499,85.906,84.73
20060630,645.1,645.5,541.9,615.7,0,76.478,82.764,85.16
20060731,615.1,676,601.8,634.2,0,72.706,79.411,85.33
20060831,636.5,656.35,606.79,625.6,0,67.364,75.396,85.08
20060929,626.6,640.4,570.5,598.5,0,57.688,69.493,86.02
20061031,599.2,610.7,559.1,606.3,0,50.797,63.261,85.33
20061130,605.9,648.6,605.2,647,0,53.111,59.878,82.95
20061229,646.8,649.9,611.3,635.9,0,52.065,57.274,83.68
20070131,636.3,654.9,601.5,653.9,0,54.558,56.368,84.59
20070228,652.6,695.3,642.8,669.4,0,64.077,58.938,83.6
20070330,672.2,677.3,632.3,664.3,0,68.465,62.114,82.94
20070430,665.3,693.6,656.1,678.7,0,74.914,66.38,81.46
20070531,678.2,690.8,651.3,660.6,0,74.783,69.181,82.31
20070629,660.5,673.95,639.8,648.6,0,71.76,70.041,81.92
20070731,650.75,687.8,644.79,665.5,0,70.583,70.222,80.81
20070831,663.7,676.6,641.1,673,0,72.464,70.969,80.82
20070928,672.5,745.7,671,742.5,0,80.903,74.28,77.698
20071031,743.2,797.2,720.6,793.4,0,86.501,78.354,76.54
20071130,797.3,845.5,772.6,781.4,0,80.978,79.229,76.15
20071231,785.7,843.5,776.7,832.8,0,85.261,81.239,76.69
20080131,832.95,933.3,831.55,924.9,0,89.22,83.9,75.23
20080229,924.3,976,884.2,971.5,0,92.367,86.722,73.75
20080331,973.3,1032.089,904.65,916.6,0,85.066,86.17,71.84
20080430,920.5,952.8,862.2,874.6,0,76.617,82.986,72.58
20080530,873.95,935.4,845,886.35,0,70.958,78.976,72.87
20080630,886.35,935.3,856.8,925.5,0,69.232,75.728,72.47
20080731,925.7,988.2,893.5,914.9,0,64.434,71.964,73.2
20080829,913.05,917.2,773,830.25,0,50.322,64.75,77.32
20080930,832.7,919.8,736,866.2,0,48.206,59.235,79.24
20081031,870.65,931.6,680.8,721.5,0,35.999,51.49,85.59
20081128,721.35,830.8,699.7,817.88,0,37.007,46.662,86.55
20081231,816.77,890.25,741.1,874.85,0,45.713,46.346,81.17
20090130,874.85,929.45,801.65,926.55,0,57.124,49.938,85.84
20090227,925.1,1005.95,890.65,942.8,0,64.942,54.94,88.15
20090331,942.95,966.9,883.75,918.05,0,67.617,59.165,85.6
20090430,918.22,932.92,864.8,886.46,0,66.161,61.497,84.79
20090529,886.9,980.22,879.55,978.47,0,74.624,65.873,79.23
20090630,978.25,989.97,912.83,926.13,0,74.9,68.882,80.16
20090731,926.6,958.8,904.93,953.5,0,77.558,71.774,78.35
20090831,952,971.25,929.7,949.65,0,77.953,73.833,78.16
20090930,950.7,1023.9,946,1005.6,0,82.557,76.741,76.7
20091030,1005.8,1070.4,985.6,1045.05,0,84.261,79.248,76.39
20091130,1043.65,1194.9,1040.25,1178.75,0,87.877,82.124,74.81
20091231,1178.65,1226.65,1074.1,1096.4,0,79.919,81.389,77.92
20100129,1096.85,1161.6,1073.75,1081.2,0,72.645,78.474,79.49
20100226,1080.25,1130.9,1044.2,1116.65,0,70.366,75.772,80.35
20100331,1117.2,1145.1,1084.85,1113.19,0,68.489,73.344,81.07
20100430,1113.4,1181.56,1111.45,1178.8,0,73.621,73.436,81.91
20100531,1178.5,1249.25,1157.1,1215.1,0,78.66,75.178,86.47
20100630,1218.18,1265.03,1196.31,1242.13,0,83.042,77.799,86.05
20100730,1242.35,1243.87,1156.8,1180.65,0,76.182,77.26,81.57
20100831,1180.45,1249.7,1174.45,1247.43,0,81.464,78.661,83.07
20100930,1248.53,1315.75,1236.53,1308.05,0,86.698,81.34,78.8
20101029,1307.05,1387.07,1305.68,1358.9,0,88.393,83.691,77.05
20101130,1360.03,1424.25,1325.48,1386.79,0,88.583,85.322,81.3
20101231,1386.09,1430.85,1361.06,1418.47,0,91.097,87.247,78.96
20110131,1418.49,1423.78,1307.95,1332.93,0,82.154,85.549,77.75
20110228,1332.98,1417.92,1324.88,1410.15,0,85.585,85.561,76.9
20110331,1411,1447.5,1382.45,1430.1,0,88.395,86.506,75.98
20110429,1432.5,1569,1412.4,1563,0,91.756,88.256,73.03
20110531,1558.2,1574.4,1462.3,1535.45,597960,90.662,89.058,74.63
20110630,1534.83,1558.19,1490.9,1500.83,585753,84.648,87.588,74.42
20110731,1501.54,1632.68,1478.28,1625.29,585753,89.007,88.061,73.86
20110831,1626.44,1911.89,1608.99,1825.75,613646,87.917,88.013,74.13
20110930,1824.14,1920.78,1532.64,1623.5,585753,75.775,83.934,78.79
20111031,1626.39,1752.34,1595.49,1714.6,557860,72.317,80.061,76.48
20111130,1713.96,1802.54,1666.67,1745.85,585753,70.713,76.945,78.34
20111230,1748.54,1762.97,1522.55,1564.45,557860,57.111,70.334,80.22
20120131,1560.09,1747.54,1560.09,1737.8,585753,58.104,66.257,79.28
20120229,1736.7,1790.51,1686.74,1696.41,502074,55.168,62.561,78.8
20120330,1694.53,1725.6,1627.97,1667.84,585753,51.058,58.727,78.95
20120430,1669.86,1683.27,1612.22,1664.09,557860,45.886,54.446,78.76
20120531,1664.43,1671.18,1526.93,1560.1,613646,33.734,47.542,83.08
20120629,1559.73,1640.81,1545.08,1597,557860,31.353,42.146,81.58
20120731,1598.23,1629.13,1554.48,1614.12,585753,31.803,38.698,82.68
20120831,1614.07,1692.64,1584.08,1691.15,613646,42.175,39.857,81.25
20120928,1690.75,1787.37,1685.4,1771.95,529967,59.103,46.273,79.88
20121031,1770.88,1795.75,1698.45,1720.38,613646,63.39,51.978,79.95
20121130,1719.94,1754.53,1672.24,1714.4,585753,65.506,56.487,80.23
20121231,1715.1,1723.23,1635.45,1675.76,536287,62.125,58.367,79.76
20130131,1675.76,1696.6,1625.69,1663.479,689056,58.349,58.361,79.24
20130228,1663.47,1685.25,1554.9,1579.58,570148,43.487,53.403,81.96
20130329,1579.39,1616.65,1561.25,1593.79,413096,34.422,47.076,82.99
20130430,1598.95,1603.7,1321.5,1476.1,718892,33.814,42.655,81.72
20130531,1475.59,1487.93,1338.04,1387.35,812726,27.171,37.494,83.27
20130628,1389.07,1423.7,1180.14,1234.07,762318,21.034,32.007,83.18
20130731,1233.42,1347.53,1208.07,1324.7,766245,22.412,28.809,81.67
20130830,1323.35,1433.5,1272.7,1394.75,704538,28.114,28.577,82.04
20130930,1392.88,1416.01,1291.61,1328.85,543886,28.34,28.498,80.23
20131031,1328.7,1361.76,1251.63,1321.319,701257,28.21,28.402,80.23
20131129,1322.92,1327.329,1227.57,1251.66,524042,24.268,27.024,80.62
20131231,1250.66,1267.88,1182.33,1205.27,792201,18.157,24.068,80.2
20140131,1205.3,1278.78,1202.37,1243.7,1849580,18.988,22.375,81.25
