Time,Open,High,Low,Close,Volume,  KDJ.K     ,  KDJ.D     
 2010/05/31,2821.35,2862.56,2481.97,2592.15,20498618,36.67,51.46
 2010/06/30,2577.76,2598.9,2382.36,2398.37,14784582,24.99,42.64
 2010/07/30,2393.95,2656.41,2319.74,2637.5,21957820,26.83,37.37
 2010/08/31,2635.81,2701.93,2564.84,2638.8,27124330,28.37,34.37
 2010/09/30,2641.05,2704.93,2573.63,2655.66,22507254,30.26,33
 2010/10/29,2681.25,3073.38,2677.99,2978.83,33783896,45.66,37.22
 2010/11/30,2986.89,3186.72,2758.92,2820.18,40429716,49.68,41.37
 2010/12/31,2810.54,2939.05,2721.48,2808.08,24120560,51.9,44.88
 2011/01/31,2825.33,2868.01,2661.45,2790.69,19369192,52.7,47.49
 2011/02/28,2795.07,2944.41,2760.18,2905.05,19199740,57.64,50.87
 2011/03/31,2906.28,3012.04,2850.94,2928.11,32029408,61.82,54.52
 2011/04/29,2932.48,3067.46,2871.01,2911.51,25218452,59.79,56.28
 2011/05/31,2911.51,2933.46,2689.21,2743.47,19570660,49.1,53.88
 2011/06/30,2737.06,2774.37,2610.99,2762.08,17828004,41.48,49.75
 2011/07/29,2767.83,2826.96,2677.12,2701.73,20490016,32.91,44.13
 2011/08/31,2697.57,2712.89,2437.68,2567.34,18019774,28.8,39.02
 2011/09/30,2569.8,2584.8,2348.22,2359.22,11902838,19.71,32.59
 2011/10/31,2363.08,2483.76,2307.15,2468.25,12017766,20.2,28.46
 2011/11/30,2450.33,2536.78,2319.44,2333.41,16417186,14.62,23.85
 2011/12/30,2392.48,2423.56,2134.02,2199.42,11545169,12.08,19.92
 2012/01/31,2212,2324.49,2132.63,2292.61,10455798,14.71,18.19
 2012/02/29,2288.07,2478.38,2263.34,2428.49,19522828,24.01,20.13
 2012/03/30,2418.79,2476.22,2242.35,2262.79,20894510,22.26,20.84
 2012/04/27,2258.03,2415.75,2251.39,2396.32,16337145,29.99,23.89
 2012/05/31,2421.08,2453.73,2309.07,2372.23,19912340,37.65,28.48
 2012/06/29,2373.22,2388.09,2188.72,2225.43,12760927,32.76,29.9
 2012/07/31,2234.32,2244.83,2100.25,2103.63,13490812,22.1,27.3
 2012/08/31,2101.72,2176.79,2032.54,2047.52,13640212,15.85,23.48
 2012/09/28,2044.82,2145,1999.48,2086.17,14327869,16.6,21.19
 2012/10/31,2084.85,2138.03,2053.09,2068.88,12312508,15.9,19.43
 2012/11/30,2070.02,2123.33,1959.33,1980.12,12452023,11.94,16.93
 2012/12/31,1977.25,2269.51,1949.46,2269.13,22452056,29.09,20.98
 2013/01/31,2289.51,2391.82,2234.95,2385.42,26719250,48.21,30.06
 2013/02/28,2377.41,2444.8,2289.89,2365.59,18265338,60.14,40.09
 2013/03/29,2364.54,2369.65,2228.81,2236.62,23259538,59.42,46.53
 2013/04/26,2229.46,2253.42,2165.78,2177.91,14971428,54.99,49.35
 2013/05/31,2170.78,2334.33,2161.14,2300.6,22948984,60.29,53
 2013/06/28,2300.21,2313.43,1849.65,1979.21,15523833,47.45,51.15
 2013/07/31,1965.99,2092.87,1946.37,1993.8,21649630,39.71,47.33
 2013/08/30,2000.82,2198.85,1997.06,2098.38,24894848,40.4,45.02
 2013/09/30,2104.09,2270.27,2078.46,2174.67,29995068,45.14,45.06
 2013/10/31,2171.9,2242.98,2093.2,2141.61,23773952,46.44,45.52
 2013/11/29,2139.88,2234.39,2078.99,2220.5,21878708,54.74,48.59
 2013/12/31,2203.12,2260.87,2068.54,2115.98,20712628,54.81,50.66
 2014/01/30,2112.13,2113.11,1984.82,2033.08,15635794,49.15,50.16
 2014/02/28,2022.32,2177.98,2014.38,2056.3,20512176,47.62,49.31
 2014/03/31,2052.08,2079.55,1974.38,2033.31,23129756,40.69,46.44
 2014/04/30,2031,2146.67,1997.64,2026.36,20674468,32.99,41.96
 2014/05/30,2022.18,2061.06,1991.06,2039.21,15124593,29.29,37.74
 2014/06/30,2039.2,2087.32,2010.53,2048.33,15912306,28.13,34.53
 2014/07/31,2051.22,2202.13,2033,2201.56,29809534,45.19,38.09
 2014/08/29,2194.17,2248.94,2180.6,2217.2,33437792,58.38,44.85
 2014/09/30,2220.13,2365.49,2217.68,2363.87,41910300,72.11,53.94
 2014/10/31,2368.58,2423.6,2279.84,2420.18,36972864,81.16,63.01
 2014/11/28,2425.22,2683.18,2401.75,2682.83,56913336,87.42,71.15
 2014/12/31,2691.72,3239.36,2665.69,3234.68,113835216,91.49,77.93
 2015/01/30,3258.63,3406.79,3095.07,3210.36,70374328,89.7,81.85
 2015/02/27,3148.14,3324.55,3049.11,3310.3,36155940,90.83,84.84
 2015/03/31,3332.72,3835.57,3198.37,3747.9,94424840,92.27,87.32
 2015/04/30,3748.34,4572.39,3742.21,4441.66,126773720,93.02,89.22
 2015/05/29,4441.34,4986.5,4099.04,4611.74,106648840,90.84,89.76
 2015/06/30,4633.1,5178.19,3847.88,4277.22,128706448,83.53,87.68
 2015/07/31,4214.15,4317.05,3373.54,3663.73,131935944,70.84,82.07
 2015/08/31,3614.99,4006.34,2850.71,3205.99,87192576,54.39,72.84
 2015/09/30,3157.83,3256.74,2983.54,3052.78,53625116,39.16,61.61
 2015/10/30,3156.07,3457.52,3133.13,3382.56,54525784,33.72,52.32
 2015/11/30,3337.58,3678.27,3302.18,3445.4,70658136,31,45.21
 2015/12/31,3442.44,3684.57,3399.28,3539.18,53681812,30.53,40.31
 2016/01/29,3536.59,3538.69,2638.3,2737.6,40077704,21.65,34.09
 2016/02/29,2730.98,2933.96,2638.96,2687.98,30132904,15.09,27.76
 2016/03/31,2688.38,3028.32,2668.76,3003.92,50845992,17.32,24.28
 2016/04/29,2997.09,3097.16,2905.05,2938.32,37869624,18.86,22.47
 2016/05/31,2940.39,3004.42,2780.76,2916.62,28538472,21.44,22.13
 2016/06/30,2917.15,2945.94,2807.6,2929.61,31759376,23.57,22.61
 2016/07/29,2931.8,3069.05,2922.52,2979.34,40116584,26.58,23.93
 2016/08/31,2971.95,3140.44,2931.96,3085.49,39562172,31.97,26.61
 2016/09/30,3083.96,3105.68,2969.13,3004.7,27958312,34.88,29.37
 2016/10/31,3020.46,3137.03,3014.62,3100.49,27831292,53.93,37.55
 2016/11/30,3101.66,3301.21,3094.1,3250.03,52007984,66.59,47.23
 2016/12/30,3257.03,3279.71,3068.42,3103.64,39659304,65.07,53.18
